listing_id,id,date,reviewer_id,reviewer_name,comments
9835,279854,2011-05-24,560832,Miriam,"Very hospitable, much appreciated.
"
9835,3640746,2013-02-26,5143343,Michelle,"A beautiful house in a lovely quiet neighbourhood, which was only a 5 minute walk to our seminar venue at the Manningham Hotel.Nice parks around for a quick morning walk, buses & shops only a block away. Rate very reasonable too. Manju is a lovely lady who made me feel most welcome & comfortable. Will definitely stay again!
I also recommend Doncaster Shopping Town - WOW."
9835,23731188,2014-12-08,2478713,Karyn,"This was my first time using airbnb and it was great. I was going to a party in an area that didn't have much accommodation around and which was booked being Xmas anyway (and I would have needed to get a cab too) - so it was great to find a room within walking distance.

Manju the host was lovely and the room was as described. A very pleasant and easy experience as a whole."
9835,46588875,2015-09-12,26184717,Rosalind,I was visiting Melbourne to spend time with my son and daughter-in-law and their new baby but I needed accommodation. I was very pleased to find Manju’s house only 20 minutes walk away. Manju was a kind host and her lovely house is spacious and the bed very comfortable. Being able to watch tv upstairs was a bonus too. The house is in a pleasant neighbourhood and only a short walk to the bus stop. The bus takes a fast route into the city on the freeway which was a nice surprise.
10803,3333588,2013-01-12,4421189,Johannes,"It was very convenient  to stay in Lindsay's appartment in Brunswick for a couple of weeks, not only is Lindsay a great host giving you valuable tips the appartment also is in a very interesting part of Melbourne and the CBD is not far away. Highly recommended!"
10803,3369053,2013-01-18,1763045,Julie,"Perfect isnt enough! Lindsay was the best host we could ever imagine help us a lot to handle our new start in australia. His place have a perfect location few second to the tram and 10 minute to cbd , close to a lot of restaurant and 2 park. The room is pretty big and really sunny , we very felt like home during the two time we were there. Thanks again lindsay wish you all the best.
julie and pierre"
10803,3403930,2013-01-23,4423532,Ivonne,Living with Lindsay was very relaxed. The room is choosen in fantastic colours and the colours of the sheets fits very cool together with it too. Lindsay is a very helpfull person and he helped me a lot organisating my journey! 
10803,3514479,2013-02-11,4551787,Jess,"Beautiful home, great location very friendly and helpful throughout my stay!"
10803,3662039,2013-03-01,632036,Yvonne And Pip,"It was great staying at Lindsay's apartment. He's friendly and fun to hang out with over a bevie! The location could not have been betters itch the tram at the door step and CERES just around the corner. 

Thank you Lindsay for providing a great spacewith such positive vibe!!!"
10803,3908291,2013-03-26,2553303,Thomas,"Lindsay was an excellent host, his apartment is in a great location, only a few metres from the end of the Tram 96 stop. Room was spacious enough, my sleep wasn't disturbed by the passing traffic although I would advise very light sleepers to bring earplugs because of the non-stop beeping from the pedestrian crossing button. I enjoyed my time here."
10803,4046614,2013-04-05,5610658,Meredith,"Lovely room and home, and very gracious hosts. Lots of character, and I was made to feel right at home. Very close to tram stop and local cafe's, and walking distance from many restaurants. I would highly recommend staying with Lindsay!"
10803,4919670,2013-06-02,1836341,Mel,"A great room in a great location!  The room is very large with a tram stop right across the road.  It's also all within walking distance to yummy cafes, CERES and Sydney Road, Brunswick and only a few tram stops way from other cool areas like Fitzroy and Collingwood.  Lindsay was a very helpful and relaxed host who made my 3 week stay very easy and enjoyable.  Highly recommended! "
10803,4977835,2013-06-04,5630666,Amelia,The reservation was canceled 2 days before arrival. This is an automated posting.
10803,5232675,2013-06-19,6553329,Hui Xin,Lindsay is a really kind and accommodating host! His place has really interesting decor too! He tried his best to tidy up his place fr us. The double room is spacious and warm with a really comfortable bed and clean toilet outside:) it's about 15min to town. 
10803,5388372,2013-06-27,6578448,Salomé,"Very  spacious, comfy and quiet room,
& lovely host.
Super convenient to get in town with the tram at the door.
Great !"
10803,6239620,2013-08-05,6589030,Manuel,The reservation was canceled 28 days before arrival. This is an automated posting.
10803,9208537,2013-12-13,8378014,Mark,"Lindsay has a great living space over his yoga studio. The room is large and so is the bed. Very comfortable. It's at the end of the 96 tram line in Brunswick so easy access to the city and there are a few restaurants on his block so it's quite ideal. Lindsay is an unflappable sort of guy, easy to talk to, and I had a pleasant lunch with him the day I arrived. Strongly recommended. "
10803,9779148,2014-01-09,10719843,Joe,"I had a wonderful stay. Lindsay is very friendly, flexible and will get out of her way to help you whenever you need. Thank you for your hosting. "
10803,9903019,2014-01-18,10941298,Lea,I really enjoyed my stay at Lindsay's apartment and I would like to be able to write a better English to explain how Lindsay was very hepful for everything. When I arrived in Melbourne my English was bad and I think that I was lucky to start my journey in Australia with a friendly host and in the best suburb of Melbourne. (Plus the apartment is very close to the tram.)
10803,10193644,2014-02-05,10174200,Ljubek,Lindsay is relaxed and easy to get along with a pleasure to have a conversation with and in a convenient location.  I recommend staying here. Thanks again for hosting me.
10803,10535990,2014-02-24,11360615,Julie,"Lindsay is a very nice host: respectful and helpful.
The room is vaste with a king size bed : very pleasant!
The location at the end of the 96 tram line is perfect to go directly to the CBD (15 min) and to St Kilda Beach (45 min).
Highly recommended! Thank you Lindsay."
10803,10669420,2014-03-02,12407146,Djoni,"Staying for 4 days in Lindsay's house was an amazing experience. His earthy artistic beautiful house successfully brought us into a super-relaxing ambience that really helps my trouble-sleeping gone :)
Thank you Lindsay for having us.
John & Beth"
10803,15624617,2014-07-13,13599943,David,Lindsay was great. Really a sweet and extremely kind guy. I really enjoyed the month that I spent there. Great location (extremely convenient with the tram line).Was a great Melbourne experience.
10803,16143988,2014-07-22,2350539,Catherine,"Lindsay's home is easily accessible by public transport, close to everything. 
Very cool collector's items to look at, it's like stepping into a funky retro shop! 
I didn't spend much time at the house, as I was at a course. 
All in all, a good experience, thanks Lindsay!"
10803,16922336,2014-08-04,17961657,Lidón,"The location is very good and there are nice places really close where you can drink a coffee or dinner and lunch. Also, the tram 96 is just one minute from the house which is really convenient to go to the city or St Kilda. 
The room and the bed are very big but the kitchen was so dirty."
10803,17394586,2014-08-11,15035042,Jennifer,"Lindsay is a gentle soul and I felt very safe being in his home.
He was thoughtful and had the lamp and heater on for when I arrived which I really appreciated.
The location is perfect with the tram just outside the door.
The room was surprisingly quiet given the location and even the hotel directly opposite stopped their music just after midnight on Saturday so it wasn't a bother.
The room is spacious.
It is an old inner suburb property with the inherent narrow steps and old plumbing.  The kitchen, lounge and bathroom did not seem to have much spare space, but if you are not planning on sitting around inside all day it was a bed at a great price.

I found the bathroom probably needed some handiman love but I know landlords are not always as interested in tiles missing and broken taps as we are."
10803,17708099,2014-08-16,2838033,Jennifer,"Conveniently located near the tram stop. 
Comfortable room. 
Relaxed and friendly host who has an amazing aesthetic and interesting collectibles. "
10803,18042070,2014-08-20,19715778,Luise,"Lindsay was a fantastic host. 
The room was very clean and cute. Right next to the 96 tram and plenty of cafes. We felt very welcome from the start and were given a lot of privacy. The house was very retro and cute, highly recommend it."
10803,19417039,2014-09-12,3242826,Katie,All good. I loved looking at all your stuff and perusing your books.  
10803,19539476,2014-09-14,3242826,Katie,"Even though Lindsay  wasn't there when I arrived, he left a key and a note and everything was great.
Such a convenient place for the tram to get to the city.
"
10803,20247509,2014-09-26,467452,Jacques,"Great place, cool vibe, Lindsay's very easy-going and the room is comfortable. The bed is enormous. I would recommend. "
10803,21210727,2014-10-13,9607407,Christian,Conveniently located right next to the tram. A bar and cafes nearby. The room itself is quite nice with a big (relatively hard) bed. Didn't spend much time in the rest of the apartment.
10803,21492153,2014-10-18,19926893,Arijit,Good host. Very approachable. Nice room. Large comfy bed. 
10803,21664611,2014-10-21,1615354,Beau,"Lindsay was easy going and but also helped me out with whatever i needed. Very flex check in/out. Ace room firm bed,  lots of hot water, privacy. Was out alot and no probs with coming and going whenever.  city farm cafe round corner, 3 cafes down stairs, tram outside flat & runs right through the city to st kilda. ta very much!  "
10803,22596068,2014-11-10,22203261,Mai Stahl,"I have had the best time in Melbourne and was so pleased to stay at Lindsey's place. He is very friendly and helpful, and the apartment has an amazing atmosphere. I took advantage of the yoga studio downstairs, which I can highly recommend.
The location is perfect, close to the tram and with lovely cafés nearby.   "
10803,23290423,2014-11-28,9928374,Marina,"I think I could not add more to any previous reviews - the room is cozy, the bed is huge and comfortable, there are nice little cafes around and the tram is just few steps away. Good stay."
